gene,log2FC_tumor_vs_normal,pvalue,FDR
VPREB3,-0.6840927814120599,0.04562205827769758,0.11392950103058759
SDF2L1,-1.3432445819354775,5.676579139797242e-05,0.0009200636092874594
GAL3ST1,0.7825311110874422,0.0013782374709919432,0.009801775191789127
YWHAH,-0.9919750748607923,0.0007897170831827186,0.006486201037109228
RFPL1,0.2584695150762449,0.07835556580800355,0.16555825921039272
RFPL2,0.3442648679221504,0.05187149196193844,0.12390221600321355
C22orf24,0.08543359555857144,0.7035090612456621,0.793985483166477
GNAZ,-0.04190586453952072,0.8746989372222751,0.9180939531074457
MGAT3,0.09948900442041397,0.6215557161215369,0.7287379992189155
ADORA2A,0.2041303241839949,0.42448134711632945,0.5561425107134282
ATF4,-0.4666781382812495,0.1578019512944131,0.2740907110115906
A4GALT,0.04914035766633518,0.8671562748233674,0.9137580250301492
RFPL3,0.24763074639079638,0.03337453399484096,0.09177197759314729
CDC42EP1,-1.157323474483018,0.001410442016280127,0.009960317513421642
APOL3,0.27502076188471847,0.32135653985115753,0.45822091081437133
MCHR1,0.5840713542896975,0.03434869690355393,0.09358006105024087
TPST2,-0.626053541352193,0.03506219279219251,0.09508567679631427
BAIAP2L2,-0.8697443433307099,0.002507258781196451,0.01510982674474736
MPST,-0.4089108339986023,0.014725957125173553,0.05365643455038813
GALR3,-0.00436173310852106,0.9731496220220118,0.9848033311058038
TST,-0.08896481343171114,0.7037897980260135,0.7940610530867007
APOL5,0.3335702305220489,0.029963482053960985,0.08539062877071589
IGLL1,0.3132686759875426,0.20824281702003983,0.33460698244873366
APOL2,-0.5871047347284595,0.04217580044950216,0.10828426640701257
RAC2,-0.774982590937257,0.015432562494395874,0.05524518283172711
LIF,0.07727988954338061,0.8379094667749439,0.8932952097055301
C22orf23,-0.18499933822616255,0.47557498324138536,0.6051612166348391
APOBEC3A,0.6750856984518769,0.037667759957982924,0.09987422686484708
APOBEC3F,-0.2103193343153631,0.32813493216729095,0.46308938042961967
RIBC2,-0.5908239433421423,0.016804993343530628,0.05848428679104391
KRT17,0.5699005435442634,0.3480637728241024,0.4825402294418714
EMC4,0.08157591198908598,0.6802928883209522,0.7755309864938156
RNF112,0.66217484344037,0.0034753245732604644,0.019220438435164782
SPECC1,0.3240626517733247,0.03601574144062886,0.09696465880210235
CPA4,0.18282346862300392,0.6468737464149636,0.7491137168221227
DOCK4,0.5674012927123222,0.003869113574443711,0.020884783582602887
POT1,0.4529204577560022,0.10037921485860767,0.19691413218037324
TAS2R16,0.3960530220256172,0.04569834252871654,0.11399986089537321
ATP6V1F,-0.9898582648545116,0.0012057159367527624,0.008844476382811717
NAA38,-0.6029502336958861,0.003168650377518721,0.017995635339296684
CDHR3,0.15399219783841422,0.4534766155761124,0.5845662895163047
PRKRIP1,-0.5069210599254816,0.012195514162594304,0.04737927671783327
VGF,-0.7107198233869991,0.00128391394084337,0.009298775633538758
PODXL,-0.357612014686973,0.2896485741476614,0.4253502770709981
FOXP2,1.3350294653953128,6.929513734445098e-09,6.688175231197372e-07
STRIP2,0.4034169970152095,0.24794752214876734,0.3806040861640515
RABL5,-0.40551230106318226,0.014337857319999894,0.052747987629023954
MKLN1,0.3498235465601023,0.15378140766440762,0.26892051052529653
DNAJB9,0.09302666497633671,0.6895662732846843,0.782767746990996
FLNC,1.9885403289543389,1.0856096418706833e-06,4.122352139837111e-05
LRRC4,-0.08796642106113328,0.678939931580361,0.7745046044889818
CALU,-0.7334358956521907,0.014750830789524109,0.053677747095393
CCDC136,1.0167299417760298,0.00046809126331857106,0.004433460911203957
SMO,-0.47865413205986007,0.09682117750953671,0.19192346637603994
IRF5,-0.8071995016102393,0.00012161341567155001,0.0016316331296173645
LRRC17,1.1603398579926267,5.86435141699129e-07,2.470895907310083e-05
KLHDC10,-0.1613013051604817,0.4773522960810265,0.606705017810439
NDUFA5,0.2583020317719309,0.1809788751865374,0.30186370001864893
FEZF1,0.3829931181694221,0.08958166475734479,0.1815490047262515
OPN1SW,0.17583723272704632,0.3070464610176033,0.4433522360465401
MRPS12,-1.0927804005605388,0.00014757908477201938,0.0018877917209447303
MYO1B,0.3764710084797094,0.07712162257727374,0.1637256121852802
HOXD1,0.3812882961404343,0.025926274780172832,0.07791062657474784
HOXD3,0.8774281006763172,7.896914274955887e-05,0.0011906390329937241
MTX2,-0.7836604316735061,0.002527474467821353,0.015195088798765646
PDE11A,0.7065033030377652,0.0027754491449467926,0.016262675485463743
CHN1,0.359573203324254,0.11498400364825472,0.2176186156925191
GAD1,0.05272308010175908,0.8599169738535675,0.9089193244921991
OSGEPL1,-0.015925001694206298,0.9235216982262058,0.9522825453260625
ORMDL1,0.2779643542479051,0.35241655165592256,0.4867738921744893
HAT1,-0.13694805623582518,0.4761413376154975,0.6057207882276797
HOXD9,0.6360978913548989,0.006314826693646905,0.02977836388759162
HOXD10,0.4277771125992359,0.092482994510863,0.18570518769900338
HOXD11,-0.03794668880515906,0.8679274996307084,0.9142830802231762
HOXD13,0.12813142978759529,0.49077376589655775,0.6191043903457831
HERC2,-0.23096115585773358,0.1775994725839626,0.2978715012928716
SNRPN,0.5605398138279476,0.04009439529779541,0.10441856539725708
PSMG2,-0.08895381930478008,0.7340410538439694,0.8168294723523668
TWSG1,-0.2047335399810688,0.3458661286532122,0.48032182515701066
